# day  luminosity  r_eff  v_eff  T_color
0.643688 1.672878e+40 2.821067e+14 0.000000e+00 2.396333e+04
0.678340 1.672333e+40 2.948423e+14 0.000000e+00 2.334965e+04
0.712993 1.672093e+40 3.074755e+14 0.000000e+00 2.278112e+04
0.747646 1.672022e+40 3.199169e+14 0.000000e+00 2.225407e+04
0.782299 1.672024e+40 3.324182e+14 0.000000e+00 2.175938e+04
0.816951 1.672047e+40 3.447855e+14 0.000000e+00 2.129731e+04
0.851604 1.672067e+40 3.570706e+14 0.000000e+00 2.086365e+04
0.886257 1.672076e+40 3.693320e+14 0.000000e+00 2.045451e+04
0.920909 1.672079e+40 3.814933e+14 0.000000e+00 2.006914e+04
0.955562 1.672078e+40 3.935990e+14 0.000000e+00 1.970454e+04
0.990215 1.672077e+40 4.056364e+14 0.000000e+00 1.935922e+04
1.000000 1.672077e+40 4.090237e+14 0.000000e+00 1.926497e+04
1.034653 1.672077e+40 4.209784e+14 0.000000e+00 1.894198e+04
1.069305 1.672078e+40 4.328652e+14 0.000000e+00 1.863473e+04
1.103958 1.672080e+40 4.447136e+14 0.000000e+00 1.834183e+04
1.138611 1.672082e+40 4.565052e+14 0.000000e+00 1.806237e+04
1.173264 1.672084e+40 4.681878e+14 0.000000e+00 1.779584e+04
1.207916 1.672086e+40 4.799131e+14 0.000000e+00 1.753987e+04
1.242569 1.672087e+40 4.915602e+14 0.000000e+00 1.729495e+04
1.277222 1.672089e+40 5.031579e+14 0.000000e+00 1.706003e+04
1.311874 1.672090e+40 5.146620e+14 0.000000e+00 1.683479e+04
1.346527 1.672092e+40 5.261963e+14 0.000000e+00 1.661765e+04
1.381180 1.672093e+40 5.376693e+14 0.000000e+00 1.640886e+04
1.415832 1.672095e+40 5.490989e+14 0.000000e+00 1.620777e+04
1.450485 1.672097e+40 5.604631e+14 0.000000e+00 1.601403e+04
1.485138 1.672098e+40 5.717937e+14 0.000000e+00 1.582707e+04
1.519791 1.672100e+40 5.831381e+14 0.000000e+00 1.564612e+04
1.554443 1.672101e+40 5.944199e+14 0.000000e+00 1.547143e+04
1.589096 1.672103e+40 6.056639e+14 0.000000e+00 1.530247e+04
1.623749 1.672104e+40 6.168649e+14 0.000000e+00 1.513893e+04
1.658401 1.672106e+40 6.280330e+14 0.000000e+00 1.498055e+04
1.693054 1.672108e+40 6.391951e+14 0.000000e+00 1.482684e+04
1.727707 1.672109e+40 6.503116e+14 0.000000e+00 1.467786e+04
1.762359 1.672111e+40 6.613949e+14 0.000000e+00 1.453330e+04
1.797012 1.672112e+40 6.724577e+14 0.000000e+00 1.439282e+04
1.831665 1.672114e+40 6.834837e+14 0.000000e+00 1.425640e+04
1.866318 1.672116e+40 6.944788e+14 0.000000e+00 1.412379e+04
1.900970 1.672117e+40 7.054564e+14 0.000000e+00 1.399471e+04
1.935623 1.672119e+40 7.163984e+14 0.000000e+00 1.386917e+04
1.970276 1.672120e+40 7.273176e+14 0.000000e+00 1.374690e+04
2.000000 1.672122e+40 7.366611e+14 0.000000e+00 1.364457e+04
2.034653 1.672123e+40 7.475280e+14 0.000000e+00 1.352811e+04
2.069305 1.672125e+40 7.583436e+14 0.000000e+00 1.341467e+04
2.103958 1.672127e+40 7.691731e+14 0.000000e+00 1.330387e+04
2.138611 1.672128e+40 7.799667e+14 0.000000e+00 1.319581e+04
2.173264 1.672130e+40 7.907345e+14 0.000000e+00 1.309035e+04
2.207916 1.672132e+40 8.014846e+14 0.000000e+00 1.298733e+04
2.242569 1.672133e+40 8.122078e+14 0.000000e+00 1.288672e+04
2.277222 1.672135e+40 8.229067e+14 0.000000e+00 1.278842e+04
2.311874 1.672136e+40 8.335640e+14 0.000000e+00 1.269238e+04
2.346527 1.672138e+40 8.442243e+14 0.000000e+00 1.259838e+04
2.381180 1.672140e+40 8.548602e+14 0.000000e+00 1.250645e+04
2.415832 1.672141e+40 8.654735e+14 0.000000e+00 1.241650e+04
2.450485 1.672143e+40 8.760700e+14 0.000000e+00 1.232843e+04
2.485138 1.672145e+40 8.866438e+14 0.000000e+00 1.224222e+04
2.519791 1.672146e+40 8.971962e+14 0.000000e+00 1.215780e+04
2.554443 1.672148e+40 9.077260e+14 0.000000e+00 1.207509e+04
2.589096 1.672150e+40 9.182353e+14 0.000000e+00 1.199404e+04
2.623749 1.672151e+40 9.287242e+14 0.000000e+00 1.191461e+04
2.658401 1.672153e+40 9.392098e+14 0.000000e+00 1.183668e+04
2.693054 1.672155e+40 9.496675e+14 0.000000e+00 1.176028e+04
2.727707 1.672156e+40 9.601097e+14 0.000000e+00 1.168532e+04
2.762359 1.672158e+40 9.705326e+14 0.000000e+00 1.161178e+04
2.797012 1.672160e+40 9.809365e+14 0.000000e+00 1.153961e+04
