# day  luminosity  r_eff  v_eff  T_color
1.853973 4.356761e+40 4.414325e+14 0.000000e+00 1.365867e+04
1.888569 4.355343e+40 4.483087e+14 0.000000e+00 1.353371e+04
1.923164 4.354719e+40 4.551642e+14 0.000000e+00 1.341214e+04
1.957759 4.354533e+40 4.620085e+14 0.000000e+00 1.329369e+04
1.992354 4.354541e+40 4.688322e+14 0.000000e+00 1.317834e+04
2.000000 4.354550e+40 4.703376e+14 0.000000e+00 1.315326e+04
2.034595 4.354615e+40 4.771378e+14 0.000000e+00 1.304151e+04
2.069191 4.354661e+40 4.839065e+14 0.000000e+00 1.293261e+04
2.103786 4.354680e+40 4.906857e+14 0.000000e+00 1.282621e+04
2.138381 4.354683e+40 4.974408e+14 0.000000e+00 1.272244e+04
2.172976 4.354679e+40 5.041782e+14 0.000000e+00 1.262115e+04
2.207572 4.354676e+40 5.109080e+14 0.000000e+00 1.252216e+04
2.242167 4.354677e+40 5.176179e+14 0.000000e+00 1.242549e+04
2.276762 4.354681e+40 5.243112e+14 0.000000e+00 1.233103e+04
2.311357 4.354686e+40 5.309805e+14 0.000000e+00 1.223870e+04
2.345953 4.354691e+40 5.376514e+14 0.000000e+00 1.214832e+04
2.380548 4.354696e+40 5.443058e+14 0.000000e+00 1.205992e+04
2.415143 4.354700e+40 5.509448e+14 0.000000e+00 1.197343e+04
2.449739 4.354704e+40 5.575752e+14 0.000000e+00 1.188871e+04
2.484334 4.354708e+40 5.641898e+14 0.000000e+00 1.180578e+04
2.518929 4.354712e+40 5.707897e+14 0.000000e+00 1.172456e+04
2.553524 4.354716e+40 5.773773e+14 0.000000e+00 1.164497e+04
2.588120 4.354720e+40 5.839503e+14 0.000000e+00 1.156698e+04
2.622715 4.354724e+40 5.905094e+14 0.000000e+00 1.149053e+04
2.657310 4.354728e+40 5.970696e+14 0.000000e+00 1.141549e+04
2.691906 4.354732e+40 6.036094e+14 0.000000e+00 1.134195e+04
2.726501 4.354736e+40 6.101407e+14 0.000000e+00 1.126977e+04
2.761096 4.354740e+40 6.166588e+14 0.000000e+00 1.119895e+04
2.795691 4.354744e+40 6.231642e+14 0.000000e+00 1.112945e+04
2.830287 4.354748e+40 6.296619e+14 0.000000e+00 1.106120e+04
2.864882 4.354753e+40 6.361467e+14 0.000000e+00 1.099418e+04
2.899477 4.354757e+40 6.426191e+14 0.000000e+00 1.092837e+04
2.934072 4.354761e+40 6.490666e+14 0.000000e+00 1.086377e+04
2.968668 4.354765e+40 6.555318e+14 0.000000e+00 1.080018e+04
3.000000 4.354769e+40 6.613664e+14 0.000000e+00 1.074358e+04
3.034595 4.354773e+40 6.677975e+14 0.000000e+00 1.068211e+04
3.069191 4.354777e+40 6.742243e+14 0.000000e+00 1.062163e+04
3.103786 4.354781e+40 6.806368e+14 0.000000e+00 1.056219e+04
3.138381 4.354785e+40 6.870381e+14 0.000000e+00 1.050374e+04
3.172976 4.354790e+40 6.934357e+14 0.000000e+00 1.044620e+04
3.207572 4.354794e+40 6.998191e+14 0.000000e+00 1.038961e+04
3.242167 4.354798e+40 7.061886e+14 0.000000e+00 1.033394e+04
3.276762 4.354802e+40 7.125477e+14 0.000000e+00 1.027915e+04
3.311357 4.354806e+40 7.189086e+14 0.000000e+00 1.022517e+04
3.345953 4.354811e+40 7.252556e+14 0.000000e+00 1.017204e+04
3.380548 4.354815e+40 7.315925e+14 0.000000e+00 1.011974e+04
3.415143 4.354819e+40 7.379245e+14 0.000000e+00 1.006820e+04
3.449739 4.354823e+40 7.442449e+14 0.000000e+00 1.001745e+04
3.484334 4.354828e+40 7.505555e+14 0.000000e+00 9.967457e+03
3.518929 4.354832e+40 7.568618e+14 0.000000e+00 9.918179e+03
3.553524 4.354836e+40 7.631565e+14 0.000000e+00 9.869634e+03
3.588120 4.354840e+40 7.694418e+14 0.000000e+00 9.821793e+03
3.622715 4.354845e+40 7.757226e+14 0.000000e+00 9.774612e+03
3.657310 4.354849e+40 7.819922e+14 0.000000e+00 9.728115e+03
3.691906 4.354853e+40 7.882527e+14 0.000000e+00 9.682274e+03
3.726501 4.354858e+40 7.945103e+14 0.000000e+00 9.637042e+03
3.761096 4.354862e+40 8.007562e+14 0.000000e+00 9.592452e+03
3.795691 4.354866e+40 8.069962e+14 0.000000e+00 9.548458e+03
3.830287 4.354871e+40 8.132274e+14 0.000000e+00 9.505064e+03
3.864882 4.354875e+40 8.194501e+14 0.000000e+00 9.462254e+03
3.899477 4.354879e+40 8.256673e+14 0.000000e+00 9.420000e+03
3.934072 4.354884e+40 8.318759e+14 0.000000e+00 9.378308e+03
3.968668 4.354888e+40 8.380761e+14 0.000000e+00 9.337163e+03
4.000000 4.354892e+40 8.436874e+14 0.000000e+00 9.300347e+03
4.034595 4.354896e+40 8.498746e+14 0.000000e+00 9.260201e+03
4.069191 4.354901e+40 8.560538e+14 0.000000e+00 9.220568e+03
4.103786 4.354905e+40 8.622207e+14 0.000000e+00 9.181442e+03
4.138381 4.354909e+40 8.683806e+14 0.000000e+00 9.142808e+03
4.172976 4.354914e+40 8.745462e+14 0.000000e+00 9.104619e+03
4.207572 4.354918e+40 8.806977e+14 0.000000e+00 9.066921e+03
4.242167 4.354923e+40 8.868439e+14 0.000000e+00 9.029674e+03
4.276762 4.354927e+40 8.929826e+14 0.000000e+00 8.992882e+03
4.311357 4.354932e+40 8.991137e+14 0.000000e+00 8.956535e+03
4.345953 4.354936e+40 9.052400e+14 0.000000e+00 8.920612e+03
4.380548 4.354941e+40 9.113586e+14 0.000000e+00 8.885117e+03
4.415143 4.354945e+40 9.174700e+14 0.000000e+00 8.850042e+03
