# day  luminosity  r_eff  v_eff  T_color
1.371763 6.656835e+40 5.487196e+14 0.000000e+00 1.635101e+04
1.406322 6.654671e+40 5.602647e+14 0.000000e+00 1.615136e+04
1.440882 6.653719e+40 5.717636e+14 0.000000e+00 1.595891e+04
1.475442 6.653435e+40 5.832344e+14 0.000000e+00 1.577305e+04
1.510001 6.653446e+40 5.946601e+14 0.000000e+00 1.559360e+04
1.544561 6.653538e+40 6.060434e+14 0.000000e+00 1.542019e+04
1.579120 6.653614e+40 6.174008e+14 0.000000e+00 1.525233e+04
1.613680 6.653653e+40 6.287155e+14 0.000000e+00 1.508989e+04
1.648240 6.653662e+40 6.399913e+14 0.000000e+00 1.493257e+04
1.682799 6.653658e+40 6.512476e+14 0.000000e+00 1.477995e+04
1.717359 6.653654e+40 6.624619e+14 0.000000e+00 1.463198e+04
1.751919 6.653654e+40 6.736401e+14 0.000000e+00 1.448841e+04
1.786478 6.653659e+40 6.847997e+14 0.000000e+00 1.434886e+04
1.821038 6.653666e+40 6.959195e+14 0.000000e+00 1.421334e+04
1.855597 6.653674e+40 7.070058e+14 0.000000e+00 1.408161e+04
1.890157 6.653682e+40 7.180767e+14 0.000000e+00 1.395337e+04
1.924717 6.653688e+40 7.291090e+14 0.000000e+00 1.382864e+04
1.959276 6.653694e+40 7.401099e+14 0.000000e+00 1.370722e+04
1.993836 6.653700e+40 7.510970e+14 0.000000e+00 1.358884e+04
2.000000 6.653701e+40 7.530522e+14 0.000000e+00 1.356805e+04
2.034560 6.653707e+40 7.639970e+14 0.000000e+00 1.345328e+04
2.069119 6.653713e+40 7.748898e+14 0.000000e+00 1.334147e+04
2.103679 6.653719e+40 7.857983e+14 0.000000e+00 1.323221e+04
2.138239 6.653725e+40 7.966680e+14 0.000000e+00 1.312566e+04
2.172798 6.653732e+40 8.075103e+14 0.000000e+00 1.302165e+04
2.207358 6.653738e+40 8.183373e+14 0.000000e+00 1.292001e+04
2.241917 6.653744e+40 8.291344e+14 0.000000e+00 1.282075e+04
2.276477 6.653750e+40 8.399055e+14 0.000000e+00 1.272376e+04
2.311037 6.653757e+40 8.506362e+14 0.000000e+00 1.262898e+04
2.345596 6.653763e+40 8.613692e+14 0.000000e+00 1.253619e+04
2.380156 6.653769e+40 8.720767e+14 0.000000e+00 1.244543e+04
2.414716 6.653775e+40 8.827600e+14 0.000000e+00 1.235662e+04
2.449275 6.653782e+40 8.934278e+14 0.000000e+00 1.226966e+04
2.483835 6.653788e+40 9.040712e+14 0.000000e+00 1.218451e+04
2.518394 6.653794e+40 9.146917e+14 0.000000e+00 1.210112e+04
2.552954 6.653801e+40 9.252907e+14 0.000000e+00 1.201941e+04
2.587514 6.653807e+40 9.358673e+14 0.000000e+00 1.193935e+04
2.622073 6.653813e+40 9.464221e+14 0.000000e+00 1.186086e+04
2.656633 6.653820e+40 9.569762e+14 0.000000e+00 1.178384e+04
2.691193 6.653826e+40 9.674994e+14 0.000000e+00 1.170833e+04
2.725752 6.653833e+40 9.780078e+14 0.000000e+00 1.163424e+04
2.760312 6.653839e+40 9.884959e+14 0.000000e+00 1.156154e+04
2.794871 6.653845e+40 9.989637e+14 0.000000e+00 1.149019e+04
2.829431 6.653852e+40 1.009418e+15 0.000000e+00 1.142012e+04
2.863991 6.653858e+40 1.019852e+15 0.000000e+00 1.135133e+04
2.898550 6.653865e+40 1.030267e+15 0.000000e+00 1.128377e+04
2.933110 6.653871e+40 1.040643e+15 0.000000e+00 1.121745e+04
