# day  luminosity  r_eff  v_eff  T_color
2.768395 2.336081e+41 1.016757e+15 0.000000e+00 1.146512e+04
2.802791 2.335325e+41 1.027288e+15 0.000000e+00 1.139546e+04
2.837188 2.334992e+41 1.037798e+15 0.000000e+00 1.132706e+04
2.871585 2.334893e+41 1.048295e+15 0.000000e+00 1.125985e+04
2.905981 2.334897e+41 1.058771e+15 0.000000e+00 1.119384e+04
2.940378 2.334929e+41 1.069227e+15 0.000000e+00 1.112899e+04
2.974774 2.334956e+41 1.079672e+15 0.000000e+00 1.106522e+04
3.000000 2.334968e+41 1.087318e+15 0.000000e+00 1.101915e+04
3.034397 2.334972e+41 1.097728e+15 0.000000e+00 1.095726e+04
3.068793 2.334971e+41 1.108125e+15 0.000000e+00 1.089638e+04
3.103190 2.334970e+41 1.118503e+15 0.000000e+00 1.083651e+04
3.137587 2.334969e+41 1.128863e+15 0.000000e+00 1.077763e+04
3.171983 2.334970e+41 1.139212e+15 0.000000e+00 1.071967e+04
3.206380 2.334973e+41 1.149543e+15 0.000000e+00 1.066265e+04
3.240776 2.334976e+41 1.159855e+15 0.000000e+00 1.060653e+04
3.275173 2.334978e+41 1.170136e+15 0.000000e+00 1.055132e+04
3.309570 2.334981e+41 1.180429e+15 0.000000e+00 1.049690e+04
3.343966 2.334983e+41 1.190697e+15 0.000000e+00 1.044334e+04
3.378363 2.334985e+41 1.200948e+15 0.000000e+00 1.039059e+04
3.412760 2.334987e+41 1.211192e+15 0.000000e+00 1.033861e+04
3.447156 2.334989e+41 1.221416e+15 0.000000e+00 1.028741e+04
3.481553 2.334991e+41 1.231623e+15 0.000000e+00 1.023698e+04
3.515950 2.334993e+41 1.241825e+15 0.000000e+00 1.018725e+04
3.550346 2.334995e+41 1.252006e+15 0.000000e+00 1.013825e+04
3.584743 2.334998e+41 1.262172e+15 0.000000e+00 1.008997e+04
3.619140 2.335000e+41 1.272331e+15 0.000000e+00 1.004234e+04
3.653536 2.335002e+41 1.282470e+15 0.000000e+00 9.995390e+03
3.687933 2.335004e+41 1.292595e+15 0.000000e+00 9.949101e+03
3.722329 2.335006e+41 1.302715e+15 0.000000e+00 9.903422e+03
3.756726 2.335008e+41 1.312816e+15 0.000000e+00 9.858384e+03
3.791123 2.335011e+41 1.322901e+15 0.000000e+00 9.813958e+03
3.825519 2.335013e+41 1.332982e+15 0.000000e+00 9.770102e+03
3.859916 2.335015e+41 1.343044e+15 0.000000e+00 9.726846e+03
3.894313 2.335017e+41 1.353091e+15 0.000000e+00 9.684162e+03
3.928709 2.335019e+41 1.363135e+15 0.000000e+00 9.642011e+03
3.963106 2.335022e+41 1.373160e+15 0.000000e+00 9.600422e+03
3.997503 2.335024e+41 1.383176e+15 0.000000e+00 9.559355e+03
4.000000 2.335024e+41 1.383903e+15 0.000000e+00 9.556394e+03
4.034397 2.335026e+41 1.393904e+15 0.000000e+00 9.515891e+03
4.068793 2.335028e+41 1.403891e+15 0.000000e+00 9.475902e+03
4.103190 2.335031e+41 1.413859e+15 0.000000e+00 9.436422e+03
4.137587 2.335033e+41 1.423815e+15 0.000000e+00 9.397433e+03
4.171983 2.335035e+41 1.433780e+15 0.000000e+00 9.358882e+03
4.206380 2.335037e+41 1.443721e+15 0.000000e+00 9.320825e+03
4.240776 2.335039e+41 1.453650e+15 0.000000e+00 9.283230e+03
4.275173 2.335042e+41 1.463575e+15 0.000000e+00 9.246067e+03
4.309570 2.335044e+41 1.473484e+15 0.000000e+00 9.209360e+03
4.343966 2.335046e+41 1.483384e+15 0.000000e+00 9.173078e+03
4.378363 2.335048e+41 1.493271e+15 0.000000e+00 9.137223e+03
4.412760 2.335051e+41 1.503146e+15 0.000000e+00 9.101788e+03
4.447156 2.335053e+41 1.513014e+15 0.000000e+00 9.066753e+03
4.481553 2.335055e+41 1.522870e+15 0.000000e+00 9.032122e+03
4.515950 2.335057e+41 1.532713e+15 0.000000e+00 8.997887e+03
4.550346 2.335060e+41 1.542550e+15 0.000000e+00 8.964029e+03
4.584743 2.335062e+41 1.552374e+15 0.000000e+00 8.930555e+03
4.619140 2.335064e+41 1.562187e+15 0.000000e+00 8.897454e+03
4.653536 2.335067e+41 1.571993e+15 0.000000e+00 8.864709e+03
4.687933 2.335069e+41 1.581786e+15 0.000000e+00 8.832327e+03
4.722329 2.335071e+41 1.591569e+15 0.000000e+00 8.800299e+03
4.756726 2.335073e+41 1.601345e+15 0.000000e+00 8.768607e+03
4.791123 2.335076e+41 1.611109e+15 0.000000e+00 8.737259e+03
4.825519 2.335078e+41 1.620862e+15 0.000000e+00 8.706247e+03
4.859916 2.335080e+41 1.630610e+15 0.000000e+00 8.675553e+03
4.894313 2.335083e+41 1.640346e+15 0.000000e+00 8.645186e+03
4.928709 2.335085e+41 1.650070e+15 0.000000e+00 8.615137e+03
4.963106 2.335087e+41 1.659790e+15 0.000000e+00 8.585389e+03
4.997503 2.335090e+41 1.669497e+15 0.000000e+00 8.555952e+03
5.000000 2.335090e+41 1.670201e+15 0.000000e+00 8.553827e+03
5.034397 2.335092e+41 1.679897e+15 0.000000e+00 8.524714e+03
5.068793 2.335095e+41 1.689589e+15 0.000000e+00 8.495885e+03
5.103190 2.335097e+41 1.699267e+15 0.000000e+00 8.467354e+03
5.137587 2.335099e+41 1.708936e+15 0.000000e+00 8.439108e+03
5.171983 2.335102e+41 1.718591e+15 0.000000e+00 8.411146e+03
5.206380 2.335104e+41 1.728245e+15 0.000000e+00 8.383450e+03
5.240776 2.335106e+41 1.737889e+15 0.000000e+00 8.356026e+03
5.275173 2.335109e+41 1.747524e+15 0.000000e+00 8.328871e+03
5.309570 2.335111e+41 1.757152e+15 0.000000e+00 8.301973e+03
5.343966 2.335113e+41 1.766770e+15 0.000000e+00 8.275336e+03
5.378363 2.335116e+41 1.776379e+15 0.000000e+00 8.248954e+03
5.412760 2.335118e+41 1.785981e+15 0.000000e+00 8.222818e+03
5.447156 2.335121e+41 1.795574e+15 0.000000e+00 8.196930e+03
5.481553 2.335123e+41 1.805157e+15 0.000000e+00 8.171285e+03
5.515950 2.335125e+41 1.814735e+15 0.000000e+00 8.145875e+03
5.550346 2.335128e+41 1.824303e+15 0.000000e+00 8.120702e+03
5.584743 2.335130e+41 1.833862e+15 0.000000e+00 8.095761e+03
5.619140 2.335133e+41 1.843416e+15 0.000000e+00 8.071043e+03
5.653536 2.335135e+41 1.852959e+15 0.000000e+00 8.046553e+03
5.687933 2.335137e+41 1.862494e+15 0.000000e+00 8.022284e+03
5.722329 2.335140e+41 1.872024e+15 0.000000e+00 7.998228e+03
5.756726 2.335142e+41 1.881544e+15 0.000000e+00 7.974390e+03
5.791123 2.335145e+41 1.891055e+15 0.000000e+00 7.950764e+03
5.825519 2.335147e+41 1.900548e+15 0.000000e+00 7.927356e+03
5.859916 2.335150e+41 1.910052e+15 0.000000e+00 7.904132e+03
5.894313 2.335152e+41 1.919540e+15 0.000000e+00 7.881120e+03
5.928709 2.335154e+41 1.929021e+15 0.000000e+00 7.858308e+03
5.963106 2.335157e+41 1.938498e+15 0.000000e+00 7.835686e+03
5.997503 2.335159e+41 1.947964e+15 0.000000e+00 7.813261e+03
6.000000 2.335160e+41 1.948651e+15 0.000000e+00 7.811641e+03
6.034397 2.335162e+41 1.958108e+15 0.000000e+00 7.789422e+03
6.068793 2.335165e+41 1.967562e+15 0.000000e+00 7.767386e+03
6.103190 2.335167e+41 1.977006e+15 0.000000e+00 7.745539e+03
6.137587 2.335169e+41 1.986444e+15 0.000000e+00 7.723872e+03
6.171983 2.335172e+41 1.995874e+15 0.000000e+00 7.702386e+03
6.206380 2.335174e+41 2.005296e+15 0.000000e+00 7.681079e+03
6.240776 2.335177e+41 2.014712e+15 0.000000e+00 7.659945e+03
6.275173 2.335179e+41 2.024121e+15 0.000000e+00 7.638984e+03
6.309570 2.335182e+41 2.033521e+15 0.000000e+00 7.618196e+03
6.343966 2.335184e+41 2.042917e+15 0.000000e+00 7.597572e+03
6.378363 2.335187e+41 2.052304e+15 0.000000e+00 7.577116e+03
6.412760 2.335190e+41 2.061683e+15 0.000000e+00 7.556824e+03
6.447156 2.335192e+41 2.071058e+15 0.000000e+00 7.536691e+03
6.481553 2.335195e+41 2.080425e+15 0.000000e+00 7.516719e+03
6.515950 2.335197e+41 2.089784e+15 0.000000e+00 7.496906e+03
6.550346 2.335200e+41 2.099137e+15 0.000000e+00 7.477246e+03
6.584743 2.335202e+41 2.108484e+15 0.000000e+00 7.457739e+03
6.619140 2.335205e+41 2.117823e+15 0.000000e+00 7.438385e+03
6.653536 2.335207e+41 2.127158e+15 0.000000e+00 7.419177e+03
6.687933 2.335210e+41 2.136485e+15 0.000000e+00 7.400118e+03
6.722329 2.335212e+41 2.145804e+15 0.000000e+00 7.381206e+03
6.756726 2.335215e+41 2.155120e+15 0.000000e+00 7.362434e+03
6.791123 2.335218e+41 2.164427e+15 0.000000e+00 7.343805e+03
6.825519 2.335220e+41 2.173727e+15 0.000000e+00 7.325318e+03
6.859916 2.335223e+41 2.183023e+15 0.000000e+00 7.306966e+03
6.894313 2.335225e+41 2.192311e+15 0.000000e+00 7.288753e+03
6.928709 2.335228e+41 2.201593e+15 0.000000e+00 7.270676e+03
6.963106 2.335231e+41 2.210870e+15 0.000000e+00 7.252729e+03
6.997503 2.335233e+41 2.220139e+15 0.000000e+00 7.234915e+03
7.000000 2.335233e+41 2.220812e+15 0.000000e+00 7.233627e+03
7.034397 2.335236e+41 2.230074e+15 0.000000e+00 7.215954e+03
7.068793 2.335239e+41 2.239332e+15 0.000000e+00 7.198405e+03
7.103190 2.335241e+41 2.248582e+15 0.000000e+00 7.180986e+03
7.137587 2.335244e+41 2.257825e+15 0.000000e+00 7.163693e+03
7.171983 2.335247e+41 2.267066e+15 0.000000e+00 7.146520e+03
7.206380 2.335249e+41 2.276299e+15 0.000000e+00 7.129472e+03
7.240776 2.335252e+41 2.285524e+15 0.000000e+00 7.112546e+03
7.275173 2.335254e+41 2.294745e+15 0.000000e+00 7.095736e+03
7.309570 2.335257e+41 2.303959e+15 0.000000e+00 7.079046e+03
7.343966 2.335260e+41 2.313169e+15 0.000000e+00 7.062472e+03
7.378363 2.335262e+41 2.322373e+15 0.000000e+00 7.046014e+03
7.412760 2.335265e+41 2.331569e+15 0.000000e+00 7.029670e+03
7.447156 2.335268e+41 2.340762e+15 0.000000e+00 7.013437e+03
7.481553 2.335270e+41 2.349947e+15 0.000000e+00 6.997316e+03
7.515950 2.335273e+41 2.359127e+15 0.000000e+00 6.981306e+03
7.550346 2.335276e+41 2.368302e+15 0.000000e+00 6.965403e+03
7.584743 2.335279e+41 2.377471e+15 0.000000e+00 6.949610e+03
7.619140 2.335281e+41 2.386634e+15 0.000000e+00 6.933923e+03
7.653536 2.335284e+41 2.395793e+15 0.000000e+00 6.918338e+03
7.687933 2.335287e+41 2.404944e+15 0.000000e+00 6.902860e+03
7.722329 2.335289e+41 2.414090e+15 0.000000e+00 6.887485e+03
7.756726 2.335292e+41 2.423232e+15 0.000000e+00 6.872210e+03
7.791123 2.335295e+41 2.432367e+15 0.000000e+00 6.857037e+03
7.825519 2.335298e+41 2.441496e+15 0.000000e+00 6.841964e+03
7.859916 2.335300e+41 2.450622e+15 0.000000e+00 6.826987e+03
7.894313 2.335303e+41 2.459741e+15 0.000000e+00 6.812109e+03
7.928709 2.335306e+41 2.468854e+15 0.000000e+00 6.797329e+03
7.963106 2.335309e+41 2.477964e+15 0.000000e+00 6.782641e+03
7.997503 2.335311e+41 2.487067e+15 0.000000e+00 6.768049e+03
8.000000 2.335312e+41 2.487727e+15 0.000000e+00 6.766993e+03
8.034397 2.335314e+41 2.496824e+15 0.000000e+00 6.752502e+03
8.068793 2.335317e+41 2.505918e+15 0.000000e+00 6.738101e+03
8.103190 2.335320e+41 2.515005e+15 0.000000e+00 6.723792e+03
8.137587 2.335323e+41 2.524087e+15 0.000000e+00 6.709574e+03
8.171983 2.335326e+41 2.533163e+15 0.000000e+00 6.695445e+03
8.206380 2.335328e+41 2.542233e+15 0.000000e+00 6.681405e+03
8.240776 2.335331e+41 2.551301e+15 0.000000e+00 6.667451e+03
8.275173 2.335334e+41 2.560362e+15 0.000000e+00 6.653584e+03
8.309570 2.335337e+41 2.569418e+15 0.000000e+00 6.639804e+03
8.343966 2.335340e+41 2.578470e+15 0.000000e+00 6.626106e+03
8.378363 2.335342e+41 2.587516e+15 0.000000e+00 6.612494e+03
8.412760 2.335345e+41 2.596556e+15 0.000000e+00 6.598965e+03
8.447156 2.335348e+41 2.605594e+15 0.000000e+00 6.585517e+03
8.481553 2.335351e+41 2.614625e+15 0.000000e+00 6.572152e+03
8.515950 2.335354e+41 2.623651e+15 0.000000e+00 6.558867e+03
8.550346 2.335357e+41 2.632673e+15 0.000000e+00 6.545661e+03
